No. Item,Target Word,Type of Metonymy,Metonymic Sentence,Literal Sentence,Metonymic Paraphrase,Literal Paraphrase,Sentence with Metonymic Paraphrase (for Experiment 2),Sentence with Literal Paraphrase (for Experiment 2)
1, glass ,CONTAINER-FOR-CONTENT, the man sips the glass , the waiter grabs the glass , wine , container , the producer has matured the wine , the employee removed the container
2, mug ,CONTAINER-FOR-CONTENT, the boy drank a mug , a worker decorates a mug , tea , cup , my mother cooked the tea , images adorned the cup
3, bottle ,CONTAINER-FOR-CONTENT, the guest tasted the bottle , the man raised the bottle , wine , container , the compound taints the wine , the customer fills its own container
4, pitcher ,CONTAINER-FOR-CONTENT, the guys consumed the pitcher , his wife broke a pitcher , water , container , researchers tested the water , the girl's father emptied the container
5, carafe ,CONTAINER-FOR-CONTENT, the student guzzled a carafe of it , the waitress passed a carafe , wine , container , the wine steward decanted the wine , diners shake the container
6, barrel ,CONTAINER-FOR-CONTENT, the servants had brewed a barrel , the wagon carried a barrel , beer , container , a competitor guzzled a beer , the manufacturer refills a container
7, barrel ,CONTAINER-FOR-CONTENT, the producer distilled a barrel , a truck brought a barrel , rum , container , the cocktail features rum , an importer shipped a container
8, dish ,CONTAINER-FOR-CONTENT, the chef prepared the dish , the servant washed the dishes , fish , container , one version marinates the fish , aluminium foil covered the containers
9, packet ,CONTAINER-FOR-CONTENT, my child ate a packet a day , the baby opened the packet , biscuit , container , idiots feed biscuits to zoo animals , the man then tossed the container
10, jar ,CONTAINER-FOR-CONTENT, my husband has already devoured a jar , the heat sterilizes the jar , jam , container , the bread maker cooks the jam for you , the employee rinses the container
11, bowl ,CONTAINER-FOR-CONTENT, the lunchmate ingested a bowl of it , the company manufactures bowls , rice  , container , the girl washed the rice , children decorated containers
12, tray ,CONTAINER-FOR-CONTENT, the guest picked at the tray , the waiter brought a tray , beef , container , high heat sears the beef , the wife grabbed a container
13, plate ,CONTAINER-FOR-CONTENT, the customer tried the plate , the worker dried the plate , pasta , container , cold water rehydrates the pasta , cooks won't have to grease the container
14, pan ,CONTAINER-FOR-CONTENT, the chef stirred the pan , the chef oiled the pan , cream , container , the device whisks the cream , the man licked the container clean
15, dish ,CONTAINER-FOR-CONTENT, the cook may slice the dish , the waiter removed the dishes from the table , meat , container , vinegar preserves the meat , two employees are piling the containers
16, dish ,CONTAINER-FOR-CONTENT, the cook salted the dish , the waitress snatched the dish , meat , container , the flat flavors the meat , the workers touched the container
17, dish ,CONTAINER-FOR-CONTENT, some chefs fry the dish , the knife scrapes the dish , chicken , container , a worker cuts the chicken into cubes , customers clean the containers
18, dish ,CONTAINER-FOR-CONTENT, the covering steams the dish , the waiter piles the dishes , vegetable , container , the woman prepares the vegetables , volunteers pack the containers
19, dish ,CONTAINER-FOR-CONTENT, the syrup glazes the dish , the accident chipped the dish , carrot , container , the machine peels the carrots , the maid carried the container
20, dish ,CONTAINER-FOR-CONTENT, the dish tastes bland , the dish supports heavy-duty use , soup , container , the soup contains ingredients such as chicken , the container features arabesque designs
21, dish ,CONTAINER-FOR-CONTENT, the dish simmered on the fire , the dish measures 6.55 inches , meat , container , the meat reaches an internal temperature of 54oc , the container did not bear the label
22, can ,CONTAINER-FOR-CONTENT, cans froze in the fridge , people recycle cans , beer , container , the beer flowed like water , supermarkets begin collecting containers
23, kettle ,CONTAINER-FOR-CONTENT, the maid boiled the kettle , the maid filled the kettle , water , device , a heater heats the water , the user can wash the device
24, bucket ,CONTAINER-FOR-CONTENT, the bucket soaked the bed , the bucket hold books , water , container , the water disappeared down the plughole , the container protects items
25, bucket ,CONTAINER-FOR-CONTENT, the bucket splashed onto the floor , the bucket hung from the hook , water , container , the water flows down an incline , the container fell out of her fingers
26, carton ,CONTAINER-FOR-CONTENT, the carton spilled onto the surface , the carton prevents any degradation , milk , box , the milk formed indigestible curds , each box weighs 15 pounds
27, flask ,CONTAINER-FOR-CONTENT, my flask spilled out in my bag , the flask features a logo , coffee , container , my coffee stained the rug , the container includes a cap
28, pool ,CONTAINER-FOR-CONTENT, propane heats the pool quickly , the homeowners built the pool , water , structure , the breeze ruffled the water , the community repaired the structure
29, pool ,CONTAINER-FOR-CONTENT, the pump refreshes the pool , the officials refilled the pool , water , hole , this technology saturates the water , the builders dug a hole
30, pool ,CONTAINER-FOR-CONTENT, the sun and wind evaporates the pool , the hotel expanded the pool , water , area , bacterial growth contaminates the water , swimmers must remain in those areas
31, pool ,CONTAINER-FOR-CONTENT, this product chlorinates the pool , the workers relined the pool , water , structure , aerators freshened the water , acid washing weakens the structure
32, cauldron ,CONTAINER-FOR-CONTENT, the cauldron seethed in the kitchen , the cauldron contained 10000 gallons , soup , container , the soup warmed my aching body , the container caught fire
33, cauldron ,CONTAINER-FOR-CONTENT, the cauldron gurgled on the grate , the cauldron combines many ingredients , soup , container , the soup incorporates chili bean sauce , the container measures about 3.2 feet
34, pot ,CONTAINER-FOR-CONTENT, pots simmered on the stove , the pot maintains the temperature , water , container , the water shimmered in the summer sun , the container broke on the floor
35, pot ,CONTAINER-FOR-CONTENT, the pot reaches a full boil , the pot absorbed the heat , water , container , the water penetrated in all holes , the container consists of a good material
36, pot ,CONTAINER-FOR-CONTENT, the pot bubbled on the fire , the pot reflects light , water , container , the water cools to 25.0 degrees , the container showed signs of damage
37, syringe ,CONTAINER-FOR-CONTENT, the veterinary injected the syringe , the nurse removed the syringe , insulin , tube , small clusters of cells produce the insulin , a hand grips a tube
38, syringe ,CONTAINER-FOR-CONTENT, the device has dosed a syringe , police found syringes , insulin , tube , the body incorrectly uses the insulin that is produced , the staff bought 60 tubes
39, tank ,CONTAINER-FOR-CONTENT, the driver used up the tank , the mechanic installed the tank , fuel , container , the company markets the fuel in california , little splashes escaped the container
40, diaper ,CONTAINER-FOR-CONTENT, the diaper overflows at night , the diaper provides protection , urine , material , the urine passes through the urethra , the material can trap bacteria
41, radiator ,CONTAINER-FOR-CONTENT, the radiator overflows significantly , the radiator operates at maximum power , water , device , the water drains away from the house , the device increases the heat
42, radiator ,CONTAINER-FOR-CONTENT, the radiator drips from the lower hose , the radiator accumulates deposits , water , container , the water formed a curtain , the container catches any spillages
43, toilet ,CONTAINER-FOR-CONTENT, the toilet overflows in the bathroom , the toilet emits a roar , water , device , the water surged to six feet , the device eliminates waste
44, hose ,CONTAINER-FOR-CONTENT, the hose drips at the end , the hose delivers the air , water , tube , the water sloshed around the grid , the tube requires new sleeves
45, hose ,CONTAINER-FOR-CONTENT, a hose douses the fire , the hose creates pressure , water , tube , the water could lead to more corrosion , the tube discharges a sample
46, jug ,CONTAINER-FOR-CONTENT, the participant had poured the jug to the cup , a spray nozzle rinses the jug , water , container , those chemicals pollute the water , patrons reuse the container
47, canister ,CONTAINER-FOR-CONTENT, the officer sprayed the canister , the courier delivers the canisters , gas , container , security forces used tear gas , gases escaped the container
48, extinguisher ,CONTAINER-FOR-CONTENT, the man sprayed the fire extinguisher , the owner mounted the fire extinguisher , gas , device , police pumped gas inside , hospitals don't even check the device
49, pack ,CONTAINER-FOR-CONTENT, some people smoke a pack a day , the man unslung the pack , cigarette , container , the smoker lit the cigarette , the customer ruptured the container
50, pack ,CONTAINER-FOR-CONTENT, not all smokers inhale a pack a day , the guys hoisted their packs , cigarette , container , the factory produces cigarettes , officers opened the containers
51, bookshelf ,CONTAINER-FOR-CONTENT, the librarian arranged the bookshelf , the artisan designed the bookshelf , book , shelf , the authors autographed the books , colorful butterflies adorn the shelf 
52, truck ,CONTAINER-FOR-CONTENT, the worker unloaded the truck , the chauffeur parked the truck , merchandise , vehicle , stores package the merchandise , the fire completely destroyed the vehicle
